OBJECTID,ADMIN_ID3,NAME1,NAME_ENG1,NAME2,NAME_ENG2,NAME3,NAME_ENG3,ADMIN_ID1,ADMIN_ID2,TYPE,VERSION,POP_YEAR,POPULATION,MALE,FEMALE,HOUSE,Shape__Area,Shape__Length
1,100101,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,พระบรมมหาราชวัง,PHRABOROM MAHARATCHAWANG,10,1001,1,2023-10N,2020,3346,1977,1369,1207,0.000128377061628271,0.0476649923516492
2,100102,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,วังบูรพาภิรมย์,WANG BURAPHA PHIROM,10,1001,1,2023-10N,2020,9650,4880,4770,5363,6.07184294949548e-05,0.0335152839206382
3,100103,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,วัดราชบพิธ,WAT RATCHABOPHIT,10,1001,1,2023-10N,2020,3071,1391,1680,979,1.76982309767482e-05,0.0172885773864342
4,100104,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,สำราญราษฎร์,SAMRAN RAT,10,1001,1,2023-10N,2020,2940,1509,1431,1127,1.9222416995035e-05,0.0190272761450841
5,100105,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,ศาลเจ้าพ่อเสือ,SAN CHAOPHO SUEA,10,1001,1,2023-10N,2020,2959,1256,1703,999,1.25781249380452e-05,0.015230677405852
6,100106,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,เสาชิงช้า,SAO CHINGCHA,10,1001,1,2023-10N,2020,2049,948,1101,698,1.29065491591973e-05,0.0145527520001828
7,100107,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,บวรนิเวศ,BOWON NIWET,10,1001,1,2023-10N,2020,4083,1834,2249,1573,4.08000331617586e-05,0.0309267592469712
8,100108,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,ตลาดยอด,TALAT YOT,10,1001,1,2023-10N,2020,2134,992,1142,1190,1.56240940896168e-05,0.0180212056403123
9,100109,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,ชนะสงคราม,CHANA SONGKHRAM,10,1001,1,2023-10N,2020,1776,860,916,830,2.82710991541535e-05,0.0223001408116667
10,100110,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,บ้านพานถม,BAN PHAN THOM,10,1001,1,2023-10N,2020,6092,2688,3404,2017,3.45023213412787e-05,0.0290303991672647
11,100111,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,บางขุนพรหม,BANG KHUN PHROM,10,1001,1,2023-10N,2020,4063,2033,2030,2183,3.7451569824043e-05,0.0262065225135988
12,100112,กรุงเทพมหานคร,BANGKOK,พระนคร,PHRA NAKHON,วัดสามพระยา,WAT SAM PHRAYA,10,1001,1,2023-10N,2020,2760,1307,1453,971,4.22949574385711e-05,0.0276070074530288
13,100201,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,ดุสิต,DUSIT,10,1002,1,2023-10N,2020,11365,7011,4354,2535,0.000197432036543432,0.058990107904028
14,100202,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,วชิรพยาบาล,WACHIRA PHAYABAN,10,1002,1,2023-10N,2020,10116,4511,5605,3049,9.49161543530863e-05,0.0424448428525479
15,100203,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,สวนจิตรลดา,SUAN CHITLADA,10,1002,1,2023-10N,2020,6564,3161,3403,2102,0.000157313656245606,0.0569338528596682
16,100204,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,สี่แยกมหานาค,SI YAEK MAHANAK,10,1002,1,2023-10N,2020,7090,3475,3615,2422,3.01386019145866e-05,0.0253079016560924
17,100206,กรุงเทพมหานคร,BANGKOK,ดุสิต,DUSIT,ถนนนครไชยศรี,THANON NAKHON CHAISI,10,1002,1,2023-10N,2020,48762,26880,21882,21545,0.000471750541123583,0.0928380337842365
18,100301,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,กระทุ่มราย,KRATHUM RAI,10,1003,1,2023-10N,2020,40146,19539,20607,16400,0.00333506034121456,0.259745267571165
19,100302,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,หนองจอก,NONG CHOK,10,1003,1,2023-10N,2020,22945,11080,11865,8368,0.00255761419282408,0.25175925811052
20,100303,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,คลองสิบ,KHLONG SIP,10,1003,1,2023-10N,2020,9186,4530,4656,2450,0.00255143916820089,0.218414140697256
21,100304,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,คลองสิบสอง,KHLONG SIP SONG,10,1003,1,2023-10N,2020,11858,5803,6055,4369,0.00315937955861045,0.237360951975088
22,100305,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,โคกแฝด,KHOK FAET,10,1003,1,2023-10N,2020,34401,16864,17537,12138,0.00189155468251556,0.211738802980004
23,100306,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,คู้ฝั่งเหนือ,KHU FUNG NUEA,10,1003,1,2023-10N,2020,17927,8700,9227,6294,0.00151063416387842,0.170266559968217
24,100307,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,ลำผักชี,LAM PHAK CHI,10,1003,1,2023-10N,2020,31810,15270,16540,13743,0.00268611275112107,0.246110948152949
25,100308,กรุงเทพมหานคร,BANGKOK,หนองจอก,NONG CHOK,ลำต้อยติ่ง,LAM TOITING,10,1003,1,2023-10N,2020,9706,4778,4928,2992,0.00216645387308745,0.263207733160414
26,100401,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,มหาพฤฒาราม,MAHA PHRUETTHARAM,10,1004,1,2023-10N,2020,10527,4805,5722,6477,5.42009055379822e-05,0.036544133110948
27,100402,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,สีลม,SI LOM,10,1004,1,2023-10N,2020,17674,8524,9150,12502,0.00012705240771993,0.0648958669627424
28,100403,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,สุริยวงศ์,SURIYAWONG,10,1004,1,2023-10N,2020,4526,2153,2373,4923,5.02826924275723e-05,0.0460119079833999
29,100404,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,บางรัก,BANG RAK,10,1004,1,2023-10N,2020,2672,1308,1364,1446,4.15296555047462e-05,0.0317838662473595
30,100405,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,สี่พระยา,SI PHRAYA,10,1004,1,2023-10N,2020,10358,4737,5621,7023,6.38801747072648e-05,0.0420557981267582
31,100502,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,อนุสาวรีย์,ANUSAWARI,10,1005,1,2023-10N,2020,89719,43127,46592,60370,0.00151001431424902,0.173118974845433
32,100508,กรุงเทพมหานคร,BANGKOK,บางเขน,BANG KHEN,ท่าแร้ง,THA RAENG,10,1005,1,2023-10N,2020,97658,44871,52787,54291,0.00190497119160682,0.217131316352937
33,100601,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,คลองจั่น,KHLONG CHAN,10,1006,1,2023-10N,2020,76934,35270,41664,48476,0.000983803862368404,0.166645719528721
34,100608,กรุงเทพมหานคร,BANGKOK,บางกะปิ,BANG KAPI,หัวหมาก,HUA MAK,10,1006,1,2023-10N,2020,67798,30562,37236,58627,0.00132267291496646,0.196417281235197
35,100701,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,รองเมือง,RONG MUEANG,10,1007,1,2023-10N,2020,16613,7983,8630,7091,0.000103538698681405,0.0439873457294259
36,100702,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,วังใหม่,WANG MAI,10,1007,1,2023-10N,2020,5802,2844,2958,5953,0.00011182142202415,0.0456317010023319
37,100703,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ปทุมวัน,PATHUM WAN,10,1007,1,2023-10N,2020,3115,1257,1858,1021,0.000175619026435925,0.0554718243305862
38,100704,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ลุมพินี,LUMPHINI,10,1007,1,2023-10N,2020,17808,8226,9582,18525,0.000280678378658195,0.0730409237441383
39,100801,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,ป้อมปราบ,POM PRAP,10,1008,1,2023-10N,2020,13758,6635,7123,6449,5.17688933996396e-05,0.0326538626958998
40,100802,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,วัดเทพศิรินทร์,WAT THEPSIRIN,10,1008,1,2023-10N,2020,6218,3071,3147,2743,3.68050147017129e-05,0.0261005664634304
41,100803,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,คลองมหานาค,KHLONG MAHANAK,10,1008,1,2023-10N,2020,8751,4147,4604,5630,4.8531090897086e-05,0.0278434095157685
